ds,y
2020-03-11,121.03774725831127
2020-03-12,135.01399216250465
2020-03-13,129.35036870648827
2020-03-14,132.21700072519076
2020-03-15,102.89210741804605
2020-03-16,114.9646290044535
2020-03-17,113.49604139563142
2020-03-18,119.65880940151686
2020-03-19,129.70569013592922
2020-03-20,121.51473125211047
2020-03-21,125.21849993001003
2020-03-22,119.6994727191305
2020-03-23,120.16766362936187
2020-03-24,112.3925318861493
2020-03-25,119.03445506245711
2020-03-26,128.661177958406
2020-03-27,137.95266333670224
2020-03-28,129.88369184057302
2020-03-29,117.18818576581354
2020-03-30,117.26760749429799
2020-03-31,117.39234764733462
2020-04-01,129.84322495266434
2020-04-02,129.5827746300188
2020-04-03,133.66041893827997
2020-04-04,128.20247244969065
2020-04-05,114.4424889670649
2020-04-06,118.10494863713103
2020-04-07,120.13531318457073
2020-04-08,126.94864420628922
2020-04-09,133.8431813556068
2020-04-10,130.14495288409364
2020-04-11,129.9828635246015
2020-04-12,121.96956804816863
2020-04-13,114.536037828777
2020-04-14,119.94668518841831
2020-04-15,130.86640813022655
2020-04-16,146.37012345161205
2020-04-17,140.01777258158185
2020-04-18,135.2969190151191
2020-04-19,125.23398797504862
2020-04-20,110.8766450214668
2020-04-21,122.54362129257913
2020-04-22,131.07038181893589
2020-04-23,151.17848143106272
2020-04-24,140.10615561659392
2020-04-25,137.43998069625022
2020-04-26,127.35573562843012
2020-04-27,116.55018783294123
2020-04-28,130.3133816654772
2020-04-29,136.45197285574145
2020-04-30,144.74050752692838
2020-05-01,138.44410008960278
2020-05-02,144.86929246233962
2020-05-03,122.44311608607191
2020-05-04,127.25094041311719
2020-05-05,137.47462264502886
2020-05-06,129.66270298973112
2020-05-07,139.87693606677635
2020-05-08,145.4123711120916
2020-05-09,137.26101956015512
2020-05-10,123.62213116777953
2020-05-11,126.58254674122287
2020-05-12,123.13390287042542
2020-05-13,138.90642369163749
2020-05-14,140.03438046669805
2020-05-15,154.58686323481805
2020-05-16,137.7852082921317
2020-05-17,131.68821766515865
2020-05-18,132.23039487711802
2020-05-19,124.21417677996304
2020-05-20,139.59883813455903
2020-05-21,153.09029233235609
2020-05-22,140.72285196000112
2020-05-23,144.54772096955136
2020-05-24,136.52101614050616
2020-05-25,133.99500007223318
2020-05-26,126.10682173081928
2020-05-27,133.78233231919404
2020-05-28,151.08736331210542
2020-05-29,152.16826842205012
2020-05-30,146.80009285169635
2020-05-31,138.87692013982578
2020-06-01,128.60883902853107
2020-06-02,135.37592069409166
2020-06-03,143.7730546741858
2020-06-04,146.82897531696605
2020-06-05,161.9352945346849
2020-06-06,149.83987012760278
2020-06-07,133.1112385294045
2020-06-08,137.2148076026696
2020-06-09,131.26432078022702
2020-06-10,148.16619224948138
2020-06-11,158.1167872252117
2020-06-12,150.42608731027954
2020-06-13,154.21066309234232
2020-06-14,143.05473757317736
2020-06-15,139.96541728254982
2020-06-16,147.54477096771032
2020-06-17,144.92690557383176
2020-06-18,150.4782054314642
2020-06-19,152.0050036769873
2020-06-20,147.23780794437036
2020-06-21,142.52840131450122
2020-06-22,139.48395327973753
2020-06-23,141.3673369741675
2020-06-24,152.21283932210292
2020-06-25,156.23497263571795
2020-06-26,165.6433231339784
2020-06-27,151.91665212608464
2020-06-28,158.43783261759668
2020-06-29,142.82960706755625
2020-06-30,137.62117211851296
2020-07-01,144.64553750969424
2020-07-02,160.5054021756215
2020-07-03,159.18141574463957
2020-07-04,158.73301568581198
2020-07-05,149.12625183059345
2020-07-06,141.2602026885238
2020-07-07,139.5960682333293
2020-07-08,144.34884079964775
2020-07-09,157.78354226214748
2020-07-10,166.50380056596308
2020-07-11,158.1565588590794
2020-07-12,142.45444673724265
2020-07-13,144.41332880414103
2020-07-14,147.6797006453923
2020-07-15,149.42686666514814
2020-07-16,162.70781947528698
2020-07-17,164.43592710965262
2020-07-18,153.29431557235213
2020-07-19,152.39515435562083
2020-07-20,148.2744237298032
2020-07-21,153.09144688570163
2020-07-22,161.0382410294053
2020-07-23,156.97392402885083
2020-07-24,161.37883524092396
2020-07-25,163.50742032062567
2020-07-26,155.0982242315176
2020-07-27,149.9688164525691
2020-07-28,168.8629250461758
2020-07-29,160.5467602457736
2020-07-30,171.46317599261627
2020-07-31,172.76104618104253
2020-08-01,166.11227716418819
2020-08-02,152.87602517683166
2020-08-03,153.1115010465822
2020-08-04,147.6582184432911
2020-08-05,158.43129158168443
2020-08-06,165.28160697564454
2020-08-07,170.323484983585
2020-08-08,176.35169066410361
2020-08-09,147.03912236015128
2020-08-10,154.6710328190653
2020-08-11,145.3818420831077
2020-08-12,159.1788022095143
2020-08-13,175.07625462270386
2020-08-14,172.1585913052077
2020-08-15,161.31275086416667
2020-08-16,154.7220066998873
2020-08-17,156.56079753494308
2020-08-18,151.71666520354725
2020-08-19,164.54383140944833
2020-08-20,171.78243776046304
2020-08-21,170.5022663947782
2020-08-22,179.34427212351645
2020-08-23,163.39119728085407
2020-08-24,144.9601727800586
2020-08-25,158.22384685905686
2020-08-26,162.07568306077323
2020-08-27,177.73982215800189
2020-08-28,171.72074136372075
2020-08-29,169.9739463926322
2020-08-30,164.66961548724314
2020-08-31,161.33773860727413
2020-09-01,153.2131701730078
2020-09-02,165.63518612848742
2020-09-03,173.02600585129295
2020-09-04,174.33977581609253
2020-09-05,181.2979767244493
2020-09-06,166.09266457022272
2020-09-07,152.6276197878253
2020-09-08,165.72703886663754
2020-09-09,179.8415502158323
2020-09-10,182.48613563293063
2020-09-11,171.93264907226796
2020-09-12,171.97261208178938
2020-09-13,172.32538868442794
2020-09-14,157.31676915448352
2020-09-15,165.27990319517158
2020-09-16,175.02701642099254
2020-09-17,174.61223389536127
2020-09-18,181.15494904480596
2020-09-19,160.11052266885216
2020-09-20,162.79197165490027
2020-09-21,161.51535264868852
2020-09-22,158.74496706769315
2020-09-23,181.23897959658132
2020-09-24,174.01925628652546
2020-09-25,181.17543031470697
2020-09-26,178.89363917870512
2020-09-27,177.0433532299794
2020-09-28,157.52195957283408
2020-09-29,172.72277866136935
2020-09-30,175.05116530509804
2020-10-01,178.18549684416587
2020-10-02,187.60924704258517
2020-10-03,181.15831169321885
2020-10-04,168.75897932193172
2020-10-05,166.97335767675833
2020-10-06,166.90346883936252
2020-10-07,177.4906636493331
2020-10-08,188.32677039508764
2020-10-09,195.15189067507254
2020-10-10,175.89701264429414
2020-10-11,184.34830750408386
2020-10-12,158.78698517727253
2020-10-13,169.9941882715704
2020-10-14,181.78773987857645
2020-10-15,188.34415328423452
2020-10-16,186.03138591831964
2020-10-17,182.9685558097191
2020-10-18,173.14121288058521
2020-10-19,167.52367731324102
2020-10-20,176.92420115493022
2020-10-21,182.55430819905604
2020-10-22,185.3977228923332
2020-10-23,195.56595981766586
2020-10-24,187.46874158896512
2020-10-25,181.5936050711513
2020-10-26,175.541722230657
2020-10-27,170.4542925382915
2020-10-28,179.89140249132265
2020-10-29,194.52181581732964
2020-10-30,196.0428886907439
2020-10-31,187.75081293783845
2020-11-01,180.03900831657705
2020-11-02,180.70497942305803
2020-11-03,173.56448757179984
2020-11-04,187.350871521235
2020-11-05,191.69746145262062
2020-11-06,193.82570827051728
2020-11-07
2020-11-08
2020-11-09
2020-11-10
2020-11-11
2020-11-12
2020-11-13
2020-11-14
2020-11-15
2020-11-16
2020-11-17
2020-11-18
2020-11-19
2020-11-20
2020-11-21
2020-11-22
2020-11-23
2020-11-24
2020-11-25
2020-11-26
2020-11-27
2020-11-28
2020-11-29
2020-11-30
2020-12-01
2020-12-02
2020-12-03
2020-12-04
2020-12-05
2020-12-06
2020-12-07
2020-12-08
2020-12-09
2020-12-10
2020-12-11
2020-12-12
2020-12-13
2020-12-14
2020-12-15
2020-12-16
2020-12-17
2020-12-18
2020-12-19
2020-12-20
2020-12-21
2020-12-22
2020-12-23
2020-12-24
2020-12-25
2020-12-26
2020-12-27
2020-12-28
2020-12-29
2020-12-30

